时间,类型,消息
2022-06-07 18:37:07,系统,图书信息表保存成功！
2022-06-07 18:46:59,系统,图书信息表保存成功！
2022-06-07 18:47:04,系统,图书信息表保存成功！
2022-06-07 20:43:50,系统,图书信息表中成功录入了一条数据
2022-06-07 20:43:57,系统,图书信息表保存成功！
2022-06-07 20:48:02,系统,更新图书信息表中的0行 2列为:'101'
2022-06-07 20:48:09,系统,图书信息表保存成功！
2022-06-07 20:53:19,系统,图书信息表中成功录入了一条数据
2022-06-07 20:53:32,系统,更新图书信息表中的1行 7列为:'真不错'
2022-06-07 20:53:34,系统,图书信息表保存成功！
2022-06-07 21:03:16,系统,人员信息表中成功录入了一条数据
2022-06-07 21:03:36,系统,人员信息表中成功录入了一条数据
2022-06-07 21:03:45,系统,人员信息表保存成功！
2022-06-07 21:03:48,系统,图书信息表保存成功！
2022-06-07 21:03:48,系统,人员信息表保存成功！
2022-06-07 21:03:48,系统,借阅信息表保存成功！
